name	label	value
catches	1958-0-0-4	58	
catches	1958-0-1-0	0	
catches	1958-0-1-1	2500	
catches	1958-0-1-2	0	
catches	1958-0-1-3	0	
catches	1958-0-1-4	0	
catches	1958-0-2-0	0	
catches	1958-0-2-1	205	
catches	1958-0-2-2	417	
catches	1958-0-2-3	626	
catches	1958-0-2-4	39	
catches	1958-1-0-0	0	
catches	1958-1-0-1	56	
catches	1958-1-0-2	243	
catches	1958-1-0-3	68	
catches	1958-1-0-4	88	
catches	1958-1-1-0	0	
catches	1958-1-1-1	2500	
catches	1958-1-1-2	0	
catches	1958-1-1-3	0	
catches	1958-1-1-4	0	
catches	1958-1-2-0	0	
catches	1958-1-2-1	205	
catches	1958-1-2-2	417	
catches	1958-1-2-3	626	
catches	1958-1-2-4	49	
catches	1958-2-0-0	0	
catches	1958-2-0-1	56	
catches	1958-2-0-2	243	
catches	1958-2-0-3	68	
catches	1958-2-0-4	3	
catches	1958-2-1-0	0	
catches	1958-2-1-1	2500	
catches	1958-2-1-2	0	
catches	1958-2-1-3	0	
catches	1958-2-1-4	0	
catches	1958-2-2-0	0	
catches	1958-2-2-1	205	
catches	1958-2-2-2	417	
catches	1958-2-2-3	626	
catches	1958-2-2-4	29	
catches	1958-3-0-0	0	
catches	1958-3-0-1	56	
catches	1958-3-0-2	243	
catches	1958-3-0-3	68	
catches	1958-3-0-4	14	
catches	1958-3-1-0	0	
catches	1958-3-1-1	2500	
catches	1958-3-1-2	0	
catches	1958-3-1-3	0	
catches	1958-3-1-4	0	
catches	1958-3-2-0	0	
catches	1958-3-2-1	205	
catches	1958-3-2-2	417	
catches	1958-3-2-3	626	
catches	1958-3-2-4	51	
catches	1959-0-0-0	0	
catches	1959-0-0-1	55	
catches	1959-0-0-2	244	
catches	1959-0-0-3	69	
catches	1959-0-0-4	25	
catches	1959-0-1-0	0	
catches	1959-0-1-1	2500	
catches	1959-0-1-2	0	
catches	1959-0-1-3	0	
catches	1959-0-1-4	0	
catches	1959-0-2-0	0	
catches	1959-0-2-1	221	
catches	1959-0-2-2	423	
catches	1959-0-2-3	631	
catches	1959-0-2-4	66	
catches	1959-1-0-0	0	
catches	1959-1-0-1	55	
catches	1959-1-0-2	244	
catches	1959-1-0-3	69	
catches	1959-1-0-4	151	
catches	1959-1-1-0	0	
catches	1959-1-1-1	2500	
catches	1959-1-1-2	0	
catches	1959-1-1-3	0	
catches	1959-1-1-4	0	
catches	1959-1-2-0	0	
catches	1959-1-2-1	221	
catches	1959-1-2-2	423	
catches	1959-1-2-3	631	
catches	1959-1-2-4	34	
catches	1959-2-0-0	0	
catches	1959-2-0-1	55	
catches	1959-2-0-2	244	
catches	1959-2-0-3	69	
catches	1959-2-0-4	0	
catches	1959-2-1-0	0	
catches	1959-2-1-1	2500	
catches	1959-2-1-2	0	
catches	1959-2-1-3	0	
catches	1959-2-1-4	0	
catches	1959-2-2-0	0	
catches	1959-2-2-1	221	
catches	1959-2-2-2	423	
catches	1959-2-2-3	631	
catches	1959-2-2-4	30	
catches	1959-3-0-0	0	
catches	1959-3-0-1	55	
catches	1959-3-0-2	244	
catches	1959-3-0-3	69	
catches	1959-3-0-4	0	
catches	1959-3-1-0	0	
catches	1959-3-1-1	2500	
catches	1959-3-1-2	0	
catches	1959-3-1-3	0	
